,year,day,time,play
214,2020,07.22(수),18:30,KIA2vs1한화
215,2020,07.24(금),18:30,SK7vs4한화
216,2020,07.26(일),17:00,SK7vs4한화
217,2020,07.27(월),18:30,SK5vs5한화
218,2020,07.29(수),18:30,한화12vs7삼성
219,2020,07.30(목),18:30,한화1vs2삼성
220,2020,07.31(금),18:30,한화2vs1LG
221,2020,08.01(토),18:00,한화6vs9LG
222,2020,08.05(수),18:30,NC5vs8한화
223,2020,08.06(목),18:30,NC4vs1한화
224,2020,08.09(일),17:00,KT6vs3한화
225,2020,08.11(화),18:30,한화7vs5키움
226,2020,08.12(수),18:30,한화2vs3키움
227,2020,08.13(목),18:30,한화3vs6키움
228,2020,08.14(금),18:30,삼성10vs1한화
229,2020,08.15(토),17:00,삼성2vs0한화
230,2020,08.16(일),17:00,삼성2vs3한화
231,2020,08.18(화),18:30,한화3vs9SK
232,2020,08.19(수),18:30,한화6vs26SK
233,2020,08.20(목),18:30,KT3vs0한화
234,2020,08.21(금),18:30,KT1vs5한화
235,2020,08.23(일),17:00,한화4vs3LG
236,2020,08.24(월),18:30,한화6vs3LG
237,2020,08.25(화),18:30,한화3vs11NC
238,2020,08.26(수),18:30,한화5vs9NC
239,2020,08.27(목),18:30,삼성0vs7한화
240,2020,08.29(토),18:00,한화7vs9롯데
241,2020,08.30(일),17:00,한화2vs6롯데
242,2020,09.01(화),18:30,한화0vs4두산
243,2020,09.03(목),18:30,키움6vs5한화
244,2020,09.04(금),18:30,키움1vs7한화
245,2020,09.05(토),17:00,KIA5vs4한화
246,2020,09.06(일),14:00,KIA8vs4한화
247,2020,09.08(화),18:30,한화4vs2삼성
248,2020,09.09(수),15:00,한화4vs4삼성
249,2020,09.09(수),18:30,한화7vs0삼성
250,2020,09.10(목),18:30,SK5vs1한화
251,2020,09.11(금),18:30,SK4vs3한화
252,2020,09.12(토),17:00,한화2vs5KT
253,2020,09.13(일),14:00,한화4vs5KT
254,2020,09.15(화),18:30,LG5vs6한화
